Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
50:00.0,6666.397746,295.913275,5416.863,6600,0.076388889,0.000209141
51:00.0,6666.147212,295.481577,5416.557,6660,0.077083333,0.000211043
52:00.0,6665.987461,295.081251,5416.362,6720,0.077777778,0.000212944
53:00.0,6665.919992,294.725035,5416.28,6780,0.078472222,0.000214845
54:00.0,6665.944975,294.427945,5416.311,6840,0.079166667,0.000216747
55:00.0,6666.061958,294.209323,5416.453,6900,0.079861111,0.000218648
56:00.0,6666.269077,294.094028,5416.706,6960,0.080555556,0.000220549
57:00.0,6666.561526,294.111242,5417.062,7020,0.08125,0.00022245
58:00.0,6666.931512,294.291067,5417.513,7080,0.081944444,0.000224352
59:00.0,6667.370487,294.660513,5418.048,7140,0.082638889,0.000226253
00:00.0,6667.871225,295.239147,5418.659,7200,0.083333333,0.000228154
01:00.0,6668.42676,296.032196,5419.336,7260,0.084027778,0.000230056
02:00.0,6669.026918,297.022176,5420.067,7320,0.084722222,0.000231957
03:00.0,6669.656784,298.167645,5420.835,7380,0.085416667,0.000233858
04:00.0,6670.299651,299.414878,5421.619,7440,0.086111111,0.000235759
05:00.0,6670.941429,300.714109,5422.402,7500,0.086805556,0.000237661
06:00.0,6671.571541,302.026352,5423.17,7560,0.0875,0.000239562
07:00.0,6672.179894,303.318449,5423.912,7620,0.088194444,0.000241463
08:00.0,6672.754582,304.557205,5424.612,7680,0.088888889,0.000243365
09:00.0,6673.283574,305.711412,5425.257,7740,0.089583333,0.000245266
10:00.0,6673.757807,306.757532,5425.836,7800,0.090277778,0.000247167
11:00.0,6674.171053,307.67935,5426.34,7860,0.090972222,0.000249068
12:00.0,6674.516486,308.460807,5426.761,7920,0.091666667,0.00025097
13:00.0,6674.784497,309.081047,5427.088,7980,0.092361111,0.000252871
14:00.0,6674.964544,309.517654,5427.307,8040,0.093055556,0.000254772
15:00.0,6675.048515,309.753249,5427.41,8100,0.09375,0.000256674
16:00.0,6675.031776,309.777583,5427.389,8160,0.094444444,0.000258575
17:00.0,6674.912056,309.585296,5427.243,8220,0.095138889,0.000260476
18:00.0,6674.689453,309.175864,5426.972,8280,0.095833333,0.000262377
19:00.0,6674.368526,308.557793,5426.581,8340,0.096527778,0.000264279
20:00.0,6673.959368,307.750925,5426.082,8400,0.097222222,0.00026618
21:00.0,6673.474916,306.781225,5425.491,8460,0.097916667,0.000268081
22:00.0,6672.926419,305.671813,5424.822,8520,0.098611111,0.000269983
23:00.0,6672.321695,304.439633,5424.084,8580,0.099305556,0.000271884
24:00.0,6671.667938,303.101463,5423.287,8640,0.1,0.000273785
25:00.0,6670.976304,301.683689,5422.444,8700,0.100694444,0.000275686
26:00.0,6670.263315,300.225688,5421.575,8760,0.101388889,0.000277588
27:00.0,6669.547477,298.773477,5420.702,8820,0.102083333,0.000279489
28:00.0,6668.844109,297.369861,5419.845,8880,0.102777778,0.00028139
29:00.0,6668.163098,296.05103,5419.014,8940,0.103472222,0.000283292
30:00.0,6667.51164,294.853273,5418.22,9000,0.104166667,0.000285193
31:00.0,6666.899256,293.821395,5417.474,9060,0.104861111,0.000287094
32:00.0,6666.339945,293.004222,5416.792,9120,0.105555556,0.000288995
33:00.0,6665.848985,292.433636,5416.194,9180,0.10625,0.000290897
34:00.0,6665.437396,292.106092,5415.692,9240,0.106944444,0.000292798
35:00.0,6665.109661,291.987686,5415.293,9300,0.107638889,0.000294699
36:00.0,6664.866823,292.035763,5414.997,9360,0.108333333,0.000296601
37:00.0,6664.711265,292.214679,5414.807,9420,0.109027778,0.000298502
38:00.0,6664.647998,292.497814,5414.73,9480,0.109722222,0.000300403
39:00.0,6664.681602,292.863082,5414.771,9540,0.110416667,0.000302304
40:00.0,6664.812645,293.29,5414.931,9600,0.111111111,0.000304206
41:00.0,6665.037137,293.76011,5415.204,9660,0.111805556,0.000306107
42:00.0,6665.348589,294.258248,5415.584,9720,0.1125,0.000308008
43:00.0,6665.739872,294.772417,5416.061,9780,0.113194444,0.000309909
44:00.0,6666.203423,295.292446,5416.626,9840,0.113888889,0.000311811
45:00.0,6666.730611,295.80873,5417.268,9900,0.114583333,0.000313712
46:00.0,6667.311374,296.31166,5417.976,9960,0.115277778,0.000315613
47:00.0,6667.934262,296.791496,5418.735,10020,0.115972222,0.000317515
48:00.0,6668.586714,297.238489,5419.531,10080,0.116666667,0.000319416
49:00.0,6669.255667,297.643229,5420.346,10140,0.117361111,0.000321317
50:00.0,6669.928216,297.996823,5421.166,10200,0.118055556,0.000323218
51:00.0,6670.591497,298.290346,5421.975,10260,0.11875,0.00032512
52:00.0,6671.231823,298.514049,5422.756,10320,0.119444444,0.000327021
53:00.0,6671.834499,298.657645,5423.49,10380,0.120138889,0.000328922
54:00.0,6672.385418,298.712127,5424.162,10440,0.120833333,0.000330824
55:00.0,6672.873252,298.671512,5424.757,10500,0.121527778,0.000332725
56:00.0,6673.289974,298.53265,5425.265,10560,0.122222222,0.000334626
57:00.0,6673.629369,298.293547,5425.679,10620,0.122916667,0.000336527
