Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
50:00.0,498.512556,8.437195,0.00001,0.000002,0,0.000001
51:00.0,498.978754,8.4368,0.000009,0.000002,0,0.000001
52:00.0,499.442053,8.43652,0.000009,0.000002,0,0.000001
53:00.0,499.893874,8.436344,0.000009,0.000002,0,0.000001
54:00.0,500.325906,8.436262,0.000008,0.000002,0,0.000001
55:00.0,500.730286,8.43626,0.000008,0.000002,0,0.000001
56:00.0,501.099549,8.436331,0.000008,0.000002,0,0.000001
57:00.0,501.426274,8.436467,0.000008,0.000002,0,0.000001
58:00.0,501.702708,8.436658,0.000009,0.000002,0,0.000001
59:00.0,501.920915,8.436883,0.000009,0.000002,0,0.000001
00:00.0,502.073481,8.437118,0.000009,0.000002,0,0.000001
01:00.0,502.154197,8.437346,0.000009,0.000002,0,0.000001
02:00.0,502.158156,8.437559,0.000009,0.000002,0,0.000001
03:00.0,502.08135,8.437757,0.00001,0.000002,0,0.000001
04:00.0,501.920179,8.437932,0.00001,0.000002,0,0.000001
05:00.0,501.67185,8.438076,0.00001,0.000002,0,0.000001
06:00.0,501.334873,8.438186,0.00001,0.000002,0,0.000001
07:00.0,500.908838,8.438267,0.00001,0.000002,0,0.000001
08:00.0,500.393459,8.438325,0.000011,0.000002,0,0.000001
09:00.0,499.791123,8.438351,0.000011,0.000002,0,0.000001
10:00.0,500.080181,8.438321,0.000012,0.000002,0,0.000001
11:00.0,500.571145,8.438204,0.000012,0.000002,0,0.000001
12:00.0,500.969082,8.437985,0.000013,0.000002,0,0.000001
13:00.0,501.273077,8.437675,0.000014,0.000002,0,0.000001
14:00.0,501.486606,8.437308,0.000014,0.000002,0,0.000001
15:00.0,501.61595,8.436923,0.000015,0.000002,0,0.000001
16:00.0,501.668426,8.436554,0.000016,0.000002,0,0.000001
17:00.0,501.650939,8.436219,0.000017,0.000002,0,0.000001
18:00.0,501.569343,8.435923,0.000018,0.000002,0,0.000001
