Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
33:00.0,6768.644655,395.841978,5541.962,12780,0.147916667,0.000404974
34:00.0,6769.095199,396.272046,5542.515,12840,0.148611111,0.000406875
35:00.0,6769.604978,396.910324,5543.142,12900,0.149305556,0.000408776
36:00.0,6770.165926,397.753938,5543.831,12960,0.15,0.000410678
37:00.0,6770.767207,398.778346,5544.569,13020,0.150694444,0.000412579
38:00.0,6771.394891,399.9408,5545.34,13080,0.151388889,0.00041448
39:00.0,6772.034326,401.191673,5546.126,13140,0.152083333,0.000416381
40:00.0,6772.673272,402.486755,5546.911,13200,0.152777778,0.000418283
41:00.0,6773.302427,403.791686,5547.684,13260,0.153472222,0.000420184
42:00.0,6773.91272,405.077007,5548.433,13320,0.154166667,0.000422085
43:00.0,6774.492544,406.311454,5549.146,13380,0.154861111,0.000423987
44:00.0,6775.02824,407.461635,5549.804,13440,0.155555556,0.000425888
45:00.0,6775.507274,408.497743,5550.393,13500,0.15625,0.000427789
46:00.0,6775.920628,409.398186,5550.901,13560,0.156944444,0.00042969
47:00.0,6776.262367,410.148599,5551.32,13620,0.157638889,0.000431592
48:00.0,6776.527873,410.738053,5551.647,13680,0.158333333,0.000433493
49:00.0,6776.713176,411.157435,5551.874,13740,0.159027778,0.000435394
50:00.0,6776.815582,411.400525,5552,13800,0.159722222,0.000437296
51:00.0,6776.833967,411.46451,5552.023,13860,0.160416667,0.000439197
52:00.0,6776.768057,411.348497,5551.942,13920,0.161111111,0.000441098
53:00.0,6776.617786,411.05221,5551.757,13980,0.161805556,0.000442999
54:00.0,6776.383733,410.576861,5551.47,14040,0.1625,0.000444901
55:00.0,6776.068079,409.927119,5551.082,14100,0.163194444,0.000446802
56:00.0,6775.675052,409.112098,5550.599,14160,0.163888889,0.000448703
57:00.0,6775.210872,408.145385,5550.028,14220,0.164583333,0.000450605
58:00.0,6774.683723,407.045199,5549.381,14280,0.165277778,0.000452506
59:00.0,6774.104071,405.835316,5548.668,14340,0.165972222,0.000454407
